exp,id,exp_type,condition,resp,correct_resp,correct,number_faces,validity,rt
1,0,witness,congruent,0,1,0,0,0.41300000000000003,0.663260000000009
1,0,witness,congruent,1,1,1,0,0.41300000000000003,0.620359999999986
1,0,witness,congruent,1,0,0,0,0.04600000000000004,0.766739999999991
1,0,witness,congruent,0,0,1,0,0.41300000000000003,0.669979999999981
1,0,witness,congruent,0,0,1,1,0.30000000000000004,1.01791999999998
1,0,witness,congruent,0,0,1,1,0.43700000000000006,1.0300800000000199
1,0,witness,congruent,1,1,1,1,0.406,0.9174600000000209
1,0,witness,congruent,0,0,1,0,0.04600000000000004,1.29496000000002
1,0,witness,congruent,1,1,1,1,0.406,0.601659999999974
1,0,witness,congruent,0,0,1,1,0.30000000000000004,1.78182000000001
1,0,witness,congruent,0,1,0,1,0.43700000000000006,0.9479799999999811
1,0,witness,congruent,1,1,1,1,0.30000000000000004,0.8798200000000069
1,0,witness,congruent,0,1,0,1,0.30000000000000004,1.31626000000001
1,0,witness,congruent,1,0,0,1,0,0.696479999999981
1,0,witness,congruent,1,1,1,2,0.31799999999999995,1.18459999999998
1,0,witness,congruent,0,0,1,0,0.41300000000000003,0.670979999999981
1,0,witness,congruent,1,0,0,0,0.04600000000000004,0.722099999999977
1,0,witness,congruent,0,0,1,2,0.41300000000000003,1.2852000000000101
1,0,witness,congruent,0,0,1,1,0.43700000000000006,1.13978000000003
1,0,witness,congruent,0,0,1,1,0.30000000000000004,0.878140000000014
1,0,witness,congruent,1,1,1,0,0.41300000000000003,0.5565999999999769
1,0,witness,congruent,1,1,1,2,0.41300000000000003,0.880559999999998
1,0,witness,congruent,0,1,0,0,0.04600000000000004,1.0876199999999998
1,0,witness,congruent,1,0,0,0,0.04600000000000004,0.9093400000000259
1,0,witness,congruent,1,1,1,1,0,1.05367999999999
1,0,witness,congruent,1,0,0,1,0,1.16209999999998
1,0,witness,congruent,0,0,1,2,0.22699999999999998,1.2255399999999799
1,0,witness,congruent,1,1,1,1,0.30000000000000004,1.26796000000002
1,0,witness,congruent,1,1,1,1,0,0.859880000000005
1,0,witness,congruent,1,1,1,0,0.41300000000000003,1.03902000000002
1,0,witness,congruent,1,1,1,1,0.406,1.03378000000003
1,0,witness,congruent,1,0,0,2,0.31799999999999995,0.9522800000000281
1,0,witness,congruent,1,1,1,2,0.41300000000000003,1.12514000000001
1,0,witness,congruent,1,0,0,1,0.30000000000000004,1.4592800000000299
1,0,witness,congruent,0,0,1,2,0.22699999999999998,1.06929999999999
1,0,witness,congruent,0,0,1,1,0.43700000000000006,0.907440000000002
1,0,witness,congruent,0,0,1,0,0.41300000000000003,0.646299999999988
1,0,witness,congruent,0,0,1,2,0.41300000000000003,1.4948599999999899
1,1,witness,congruent,1,1,1,2,0.41300000000000003,NA
1,1,witness,congruent,1,0,0,1,0.43700000000000006,NA
1,1,witness,congruent,1,0,0,1,0.43700000000000006,4.97028
1,1,witness,congruent,0,0,1,1,0.43700000000000006,3.86702
1,1,witness,congruent,1,1,1,1,0.406,4.45472
1,1,witness,congruent,0,0,1,0,0.41300000000000003,3.29804
1,1,witness,congruent,1,1,1,0,0.41300000000000003,1.4558200000000099
1,1,witness,congruent,0,0,1,1,0.43700000000000006,3.2303800000000003
1,1,witness,congruent,1,1,1,0,0.04600000000000004,1.6201000000000099
1,1,witness,congruent,1,0,0,1,0.30000000000000004,NA
1,1,witness,congruent,1,1,1,0,0.04600000000000004,1.07816
1,1,witness,congruent,1,1,1,1,0.30000000000000004,1.63588
1,1,witness,congruent,0,0,1,0,0.41300000000000003,2.3372400000000098
1,1,witness,congruent,1,1,1,2,0.41300000000000003,2.8742400000000097
1,1,witness,congruent,1,0,0,2,0.22699999999999998,3.63198
1,1,witness,congruent,0,1,0,2,0.31799999999999995,1.68417999999999
1,1,witness,congruent,0,0,1,1,0.30000000000000004,2.7741799999999897
1,1,witness,congruent,0,0,1,1,0.43700000000000006,NA
1,1,witness,congruent,0,0,1,1,0.43700000000000006,1.56782000000001
1,1,witness,congruent,1,0,0,1,0,1.49757999999999
1,1,witness,congruent,0,0,1,2,0.41300000000000003,5.25738
1,1,witness,congruent,1,0,0,0,0.04600000000000004,2.03722
1,1,witness,congruent,1,1,1,1,0.406,1.43135999999999
1,1,witness,congruent,1,1,1,0,0.41300000000000003,1.03370000000001
1,1,witness,congruent,0,0,1,1,0.30000000000000004,5.40542000000001
1,1,witness,congruent,0,0,1,1,0.43700000000000006,2.59479999999999
1,1,witness,congruent,1,1,1,0,0.04600000000000004,2.12251999999999
1,1,witness,congruent,1,1,1,1,0,3.5936599999999697
1,1,witness,congruent,0,0,1,1,0.43700000000000006,1.94844
1,1,witness,congruent,1,1,1,2,0.41300000000000003,3.21778000000003
1,1,witness,congruent,1,1,1,0,0.41300000000000003,0.838280000000028
1,1,witness,congruent,0,1,0,2,0.31799999999999995,2.40008000000002
1,1,witness,congruent,0,0,1,2,0.41300000000000003,1.38003999999998
1,1,witness,congruent,0,1,0,1,0,1.79582000000001
1,1,witness,congruent,1,0,0,0,0.04600000000000004,1.32182000000001
1,1,witness,congruent,1,1,1,2,0.31799999999999995,1.40115999999997
1,1,witness,congruent,0,0,1,2,0.41300000000000003,NA
1,1,witness,congruent,1,0,0,1,0.406,3.2875
1,1,witness,congruent,1,1,1,1,0.406,1.28820000000001
1,1,witness,congruent,1,1,1,1,0.30000000000000004,1.21129999999999
1,1,witness,congruent,1,0,0,2,0.41300000000000003,4.10028000000003
1,1,witness,congruent,1,1,1,2,0.41300000000000003,1.39512
1,1,witness,congruent,1,1,1,0,0.04600000000000004,1.1682000000000101
1,1,witness,congruent,1,0,0,1,0,1.62778000000003
1,1,witness,congruent,1,1,1,0,0.41300000000000003,1.04279999999999
1,1,witness,congruent,1,0,0,2,0.41300000000000003,4.82259999999998
1,1,witness,congruent,1,1,1,2,0.22699999999999998,2.1852399999999896
1,1,witness,congruent,1,1,1,2,0.41300000000000003,3.49906
1,1,witness,congruent,0,1,0,2,0.41300000000000003,3.31502000000002
1,1,witness,congruent,1,1,1,1,0.406,1.0794000000000201
1,1,witness,congruent,1,1,1,0,0.41300000000000003,0.7459600000000209
1,1,witness,congruent,1,0,0,1,0.30000000000000004,2.0765
1,1,witness,congruent,1,1,1,1,0.406,1.136
1,1,witness,congruent,1,1,1,1,0.406,0.862919999999984
1,1,witness,congruent,0,1,0,1,0.30000000000000004,2.9927800000000304
1,1,witness,congruent,1,1,1,1,0.406,0.8283200000000069
1,1,witness,congruent,1,0,0,2,0.41300000000000003,3.48070000000001
1,1,witness,congruent,0,0,1,0,0.41300000000000003,1.11990000000002
1,1,witness,congruent,1,1,1,1,0.30000000000000004,4.58715999999997
1,1,witness,congruent,0,0,1,0,0.41300000000000003,1.53797999999998
1,1,witness,congruent,1,0,0,2,0.22699999999999998,NA
1,1,witness,congruent,0,0,1,0,0.41300000000000003,0.899679999999993
1,1,witness,congruent,1,1,1,1,0.30000000000000004,1.41817999999999
1,1,witness,congruent,0,0,1,1,0.43700000000000006,1.18634000000003
1,1,witness,congruent,0,1,0,2,0.31799999999999995,1.84488
1,1,witness,congruent,0,0,1,1,0.30000000000000004,1.20744
1,1,witness,congruent,0,0,1,2,0.41300000000000003,1.71767999999999
1,1,witness,congruent,1,1,1,1,0.406,0.9965
1,1,witness,congruent,0,0,1,1,0.43700000000000006,0.888239999999991
1,1,witness,congruent,0,0,1,1,0.30000000000000004,2.16179999999999
1,1,witness,congruent,1,1,1,0,0.04600000000000004,2.25676000000001
1,1,witness,congruent,1,1,1,2,0.41300000000000003,1.6710399999999799
1,1,witness,congruent,1,0,0,0,0.04600000000000004,1.20503999999998
1,1,witness,congruent,1,0,0,1,0,2.47178000000003
1,1,witness,congruent,1,1,1,2,0.41300000000000003,0.951859999999986
1,1,witness,congruent,1,1,1,1,0.406,1.6585999999999799
1,1,witness,congruent,1,1,1,0,0.41300000000000003,0.7592199999999719
1,1,witness,congruent,1,1,1,0,0.04600000000000004,1.32390000000002
1,1,witness,congruent,1,1,1,0,0.41300000000000003,0.665260000000009
1,1,witness,congruent,1,1,1,2,0.41300000000000003,2.8581799999999897
1,1,witness,congruent,0,1,0,2,0.41300000000000003,1.83884000000003
1,1,witness,congruent,1,1,1,0,0.41300000000000003,0.6480399999999791
1,1,witness,congruent,1,1,1,2,0.31799999999999995,1.98453999999998
1,1,witness,congruent,1,0,0,2,0.41300000000000003,1.2528599999999899
1,1,witness,congruent,0,0,1,1,0.43700000000000006,1.14579999999999
1,1,witness,congruent,1,1,1,1,0,1.7251799999999902
1,1,witness,congruent,1,1,1,1,0.406,0.9999000000000231
1,1,witness,congruent,0,0,1,0,0.41300000000000003,1.39876000000001
1,1,witness,congruent,1,1,1,1,0,2.91590000000002
1,1,witness,congruent,0,0,1,0,0.41300000000000003,0.7525800000000159
1,1,witness,congruent,1,0,0,1,0.30000000000000004,1.7940800000000199
1,1,witness,congruent,1,1,1,1,0.406,0.8307199999999719
1,1,witness,congruent,1,0,0,2,0.22699999999999998,2.96245999999996
1,1,witness,congruent,0,0,1,2,0.41300000000000003,1.7956999999999501
1,1,witness,congruent,0,0,1,1,0.43700000000000006,2.62730000000005
1,1,witness,congruent,1,1,1,1,0.30000000000000004,0.9501600000000331
1,1,witness,congruent,1,1,1,1,0.406,0.859839999999967
1,1,witness,congruent,1,1,1,1,0.30000000000000004,0.886
1,1,witness,congruent,0,0,1,2,0.41300000000000003,1.12864000000001
1,1,witness,congruent,0,0,1,0,0.41300000000000003,0.886160000000033
1,1,witness,congruent,1,0,0,2,0.22699999999999998,1.33366000000003
1,1,witness,congruent,1,0,0,1,0,0.909060000000056
1,1,witness,congruent,1,1,1,0,0.41300000000000003,0.650119999999995
1,1,witness,congruent,0,0,1,0,0.41300000000000003,0.687660000000033
1,1,witness,congruent,0,0,1,1,0.43700000000000006,1.09888
1,1,witness,congruent,0,0,1,1,0.43700000000000006,0.7607800000000281
1,1,witness,congruent,1,1,1,2,0.31799999999999995,0.876719999999972
1,1,witness,congruent,1,1,1,2,0.41300000000000003,1.6351600000000301
1,1,witness,congruent,0,0,1,0,0.41300000000000003,0.660060000000056
1,1,witness,congruent,0,0,1,1,0.43700000000000006,0.916619999999995
1,1,witness,congruent,1,0,0,1,0.406,0.892800000000047
1,1,witness,congruent,1,0,0,0,0.04600000000000004,1.23592000000004
1,1,witness,congruent,1,1,1,0,0.04600000000000004,1.33430000000005
1,1,witness,congruent,1,1,1,2,0.41300000000000003,0.7089799999999811
1,1,witness,congruent,0,0,1,0,0.41300000000000003,0.665800000000047
1,1,witness,congruent,0,0,1,2,0.41300000000000003,2.15678000000003
1,1,witness,congruent,1,1,1,0,0.41300000000000003,0.685920000000042
1,1,witness,congruent,1,1,1,0,0.41300000000000003,0.714199999999953
1,1,witness,congruent,0,0,1,1,0.30000000000000004,1.16383999999997
1,1,witness,congruent,0,0,1,2,0.41300000000000003,1.41256000000006
1,1,witness,congruent,1,1,1,1,0.406,0.686800000000047
1,1,witness,congruent,1,1,1,1,0.406,0.6920400000000371
1,1,witness,congruent,0,0,1,1,0.43700000000000006,0.853260000000009
1,1,witness,congruent,0,0,1,0,0.41300000000000003,3.5513000000000003
1,1,witness,congruent,1,1,1,1,0,1.49828
1,1,witness,congruent,1,1,1,1,0.406,0.776620000000001
1,1,witness,congruent,0,0,1,2,0.41300000000000003,3.02216
1,1,witness,congruent,1,1,1,1,0.406,1.74218
1,1,witness,congruent,1,1,1,0,0.41300000000000003,0.65132
1,1,witness,congruent,0,0,1,1,0.43700000000000006,1.1198
1,1,witness,congruent,0,0,1,0,0.41300000000000003,0.665540000000001
1,1,witness,congruent,1,1,1,0,0.41300000000000003,0.655519999999997
1,1,witness,congruent,0,0,1,1,0,NA
1,1,witness,congruent,0,1,0,1,0.30000000000000004,1.219
1,1,witness,congruent,1,0,0,1,0.406,0.7869199999999981
1,1,witness,congruent,0,0,1,1,0.43700000000000006,0.974239999999998
1,1,witness,congruent,1,1,1,0,0.04600000000000004,1.20112
1,1,witness,congruent,1,1,1,2,0.41300000000000003,2.33188
1,1,witness,congruent,1,1,1,2,0.41300000000000003,0.817879999999997
1,1,witness,congruent,1,1,1,0,0.41300000000000003,0.627879999999997
1,1,witness,congruent,1,1,1,1,0.30000000000000004,0.666399999999994
1,1,witness,congruent,0,0,1,2,0.41300000000000003,0.952179999999993
1,1,witness,congruent,1,1,1,0,0.41300000000000003,0.581899999999994
1,1,witness,congruent,1,0,0,0,0.04600000000000004,1.34310000000001
1,1,witness,congruent,1,0,0,0,0.04600000000000004,1.0633800000000002
1,1,witness,congruent,0,0,1,2,0.41300000000000003,1.1394600000000101
1,1,witness,congruent,0,0,1,1,0.43700000000000006,0.883
1,1,witness,congruent,0,0,1,1,0.43700000000000006,1.0313800000000002
1,1,witness,congruent,1,1,1,0,0.41300000000000003,1.84396000000001
1,1,witness,congruent,0,0,1,1,0.30000000000000004,1.0115
1,1,witness,congruent,1,1,1,1,0,1.02734
1,1,witness,congruent,0,0,1,1,0.30000000000000004,0.9689600000000059
1,1,witness,congruent,1,1,1,1,0.30000000000000004,0.722179999999993
1,1,witness,congruent,0,0,1,2,0.41300000000000003,1.3804400000000001
1,1,witness,congruent,1,0,0,0,0.41300000000000003,0.858199999999997
